structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,16049.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,16090.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,16083.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2016-Q4,2016,Q4,16093.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q1,2017,Q1,16140.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q2,2017,Q2,16210.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q3,2017,Q3,16150.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2017-Q4,2017,Q4,16191.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q1,2018,Q1,16272.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q2,2018,Q2,16292.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q3,2018,Q3,16293.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2018-Q4,2018,Q4,16345.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q1,2019,Q1,16350.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q2,2019,Q2,16346.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q3,2019,Q3,16365.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2019-Q4,2019,Q4,16420.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q1,2020,Q1,16289.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q2,2020,Q2,16173.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q3,2020,Q3,15889.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2020-Q4,2020,Q4,15814.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q1,2021,Q1,15798.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q2,2021,Q2,15894.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q3,2021,Q3,16041.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2021-Q4,2021,Q4,16077.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q1,2022,Q1,16120.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q2,2022,Q2,16161.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q3,2022,Q3,16196.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2022-Q4,2022,Q4,16273.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q1,2023,Q1,16405.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q2,2023,Q2,16444.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q3,2023,Q3,16317.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2023-Q4,2023,Q4,16329.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q1,2024,Q1,16281.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q2,2024,Q2,16318.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q3,2024,Q3,16426.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2024-Q4,2024,Q4,16573.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q1,2025,Q1,16576.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q2,2025,Q2,16682.0,Normal value,False
Employed population by age groups,GBR,United Kingdom,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Quarterly,2025-Q3,2025,Q3,16568.0,Normal value,False
