structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,1933.175,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,1891.823,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,1920.186,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q4,2016,Q4,1995.498,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q1,2017,Q1,1994.201,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q2,2017,Q2,2004.362,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q3,2017,Q3,1992.571,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q4,2017,Q4,1919.567,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q1,2018,Q1,1925.402,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q2,2018,Q2,2068.981,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q3,2018,Q3,2046.004,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q4,2018,Q4,2080.445,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q1,2019,Q1,2076.89,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q2,2019,Q2,2090.362,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q3,2019,Q3,2061.974,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q4,2019,Q4,2077.125,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q1,2020,Q1,2097.941,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q2,2020,Q2,1671.904,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q3,2020,Q3,1768.692,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q4,2020,Q4,1873.979,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q1,2021,Q1,1918.266,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q2,2021,Q2,1891.582,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q3,2021,Q3,2003.81,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q4,2021,Q4,2005.062,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q1,2022,Q1,2014.299,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q2,2022,Q2,2068.935,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q3,2022,Q3,2109.25,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q4,2022,Q4,2095.032,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q1,2023,Q1,2024.625,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q2,2023,Q2,2039.372,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q3,2023,Q3,2007.529,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q4,2023,Q4,1996.247,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q1,2024,Q1,2068.639,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q2,2024,Q2,2057.135,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q3,2024,Q3,2147.362,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q4,2024,Q4,2137.456,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q1,2025,Q1,2123.349,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q2,2025,Q2,2083.22,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q3,2025,Q3,2108.408,Normal value,False
Employed population by age groups,CRI,Costa Rica,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q4,2025,Q4,2094.2,Normal value,False
Employed population by age groups,KOR,Korea,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q4,2023,Q4,24894.83,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,4419.082,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,4412.373,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,4418.932,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q4,2016,Q4,4440.614,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q1,2017,Q1,4440.41,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q2,2017,Q2,4453.401,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q3,2017,Q3,4462.425,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q4,2017,Q4,4461.764,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q1,2018,Q1,4468.53,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q2,2018,Q2,4478.099,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q3,2018,Q3,4513.737,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q4,2018,Q4,4497.634,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q1,2019,Q1,4507.104,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q2,2019,Q2,4540.426,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q3,2019,Q3,4529.187,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2019-Q4,2019,Q4,4533.283,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q1,2020,Q1,4549.704,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q2,2020,Q2,4484.339,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q3,2020,Q3,4511.726,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2020-Q4,2020,Q4,4528.231,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q1,2021,Q1,4495.392,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q2,2021,Q2,4495.537,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q3,2021,Q3,4537.729,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2021-Q4,2021,Q4,4567.542,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q1,2022,Q1,4559.255,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q2,2022,Q2,4576.667,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q3,2022,Q3,4582.266,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2022-Q4,2022,Q4,4592.612,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q1,2023,Q1,4637.727,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q2,2023,Q2,4652.389,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q3,2023,Q3,4642.325,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2023-Q4,2023,Q4,4661.659,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q1,2024,Q1,4662.166,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q2,2024,Q2,4673.619,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q3,2024,Q3,4668.871,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2024-Q4,2024,Q4,4671.345,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q1,2025,Q1,4674.539,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q2,2025,Q2,4678.0,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q3,2025,Q3,4677.219,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2025-Q4,2025,Q4,4662.843,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q1,2016,Q1,256.9291,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q2,2016,Q2,256.5476,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q3,2016,Q3,259.6688,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2016-Q4,2016,Q4,264.4544,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q1,2017,Q1,267.219,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q2,2017,Q2,267.6784,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q3,2017,Q3,273.9073,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2017-Q4,2017,Q4,270.8953,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q1,2018,Q1,275.9901,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q2,2018,Q2,274.1672,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q3,2018,Q3,279.6398,Normal value,False
Employed population by age groups,LUX,Luxembourg,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 64 years,Quarterly,2018-Q4,2018,Q4,283.6028,Normal value,False
