structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,employment_value,observation_status,is_estimated
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2016,5392.408,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2017,5529.143,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2018,5677.412,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2019,5810.649,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2020,5721.246,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2021,5909.633,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2022,6219.804,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2023,6423.631,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2024,6551.139,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2025,6676.907,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2016,1955.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2017,1976.75,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2018,1993.25,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2019,2013.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2020,1966.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2021,1988.375,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2022,2058.1,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2023,2079.225,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2024,2092.1,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2025,2096.925,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2017,2126.25,Normal value,False
