structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,employment_value,observation_status,is_estimated
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2016,6116.235,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2017,6199.377,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2018,6317.259,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2019,6434.676,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2020,6304.021,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2021,6443.832,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2022,6698.884,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2023,6917.297,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2024,7053.932,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2025,7161.3,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2016,2187.0,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2017,2208.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2018,2248.0,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2019,2266.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2020,2218.5,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2021,2243.35,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2022,2299.125,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2023,2315.125,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2024,2302.975,Normal value,False
Employed population by age groups,AUT,Austria,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2025,2302.35,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2017,2461.25,Normal value,False
Employed population by age groups,BEL,Belgium,Employment,Persons,Calendar and seasonally adjusted,Male,From 15 to 64 years,Annual,2018,2495.0,Normal value,False
