structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2016,3632.35,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2017,3637.296,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2018,3642.92,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2019,3651.035,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2020,3657.748,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2021,3666.128,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2022,3691.849,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2016,6269.084,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2017,6345.905,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2018,6453.617,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2019,6570.139,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2020,6681.708,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2021,6735.029,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2022,6759.374,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2016,16137.233,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2017,16363.263,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2018,16683.579,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2019,17077.549,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2020,17457.385,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2021,17723.388,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2022,17936.806,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2016,3431.501,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2017,3401.526,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2018,3378.877,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2019,3361.393,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2020,3348.021,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2021,3252.32,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2022,3355.643,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2016,1819.624,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2017,1827.554,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2018,1832.15,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2019,1836.876,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2020,1835.785,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2021,1839.095,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2022,1860.464,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2016,1707.976,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2017,1699.764,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2018,1691.273,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2019,1684.61,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2020,1679.619,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2021,1676.57,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2022,1677.269,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2016,37933.392,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2017,37670.958,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2018,37448.605,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2019,37292.96,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2020,37079.288,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2021,36779.889,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2022,36603.599,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2016,1673.487,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2017,1682.962,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2018,1691.095,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2019,1699.924,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2020,1706.889,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2021,1712.817,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2022,1729.071,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2016,1885.974,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2017,1868.566,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2018,1851.395,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2019,1834.972,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2020,1818.735,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2021,1794.898,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2022,1777.508,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2016,666.252,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2017,660.295,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2018,653.637,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2019,651.129,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2020,647.263,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2021,645.403,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2022,642.311,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2016,3048.258,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2017,3075.597,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2018,3101.635,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2019,3125.637,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2020,3143.466,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2021,3159.764,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2022,3181.241,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2016,3511.62,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2017,3488.082,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2018,3465.962,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2019,3444.482,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2020,3421.877,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2021,3369.743,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Female,From 15 to 64 years,2016,19354.546,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Female,From 15 to 64 years,2017,19259.263,Normal value,False
