structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2016,850.864,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2017,846.537,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2018,845.537,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2019,844.767,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2020,842.472,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2021,841.403,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Total,From 15 to 64 years,2022,853.681,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2016,37596.157,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2017,37571.568,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2018,37623.919,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2019,37627.748,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2020,37378.502,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2016,1270.365,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2017,1249.424,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2018,1233.068,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2019,1218.495,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2020,1203.809,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2021,1190.344,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Total,From 15 to 64 years,2022,1185.872,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2016,1895.933,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2017,1855.626,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2018,1827.811,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2019,1817.663,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2020,1815.817,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Total,From 15 to 64 years,2021,1830.867,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Total,From 15 to 64 years,2016,405.01,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Total,From 15 to 64 years,2017,414.644,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Total,From 15 to 64 years,2018,422.816,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Total,From 15 to 64 years,2019,431.102,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Total,From 15 to 64 years,2020,437.918,Normal value,False
